keys,en,cs
TERMINAL_ITEM_WIDGET_2_TEXT,another one for the road,ještě jedna na cestu
PERSISTENCE_WARNING_TITLE_TEXT,WARNING! TOO MANY EXPIES!?,VAROVÁNÍ! PŘÍLIŠ MNOHO EXPIES!?
PERSISTENCE_WARNING_MESSAGE,"HOLD IT RIGHT THERE!\n\nYou have 20 (or more) Expies registered in your persistence data. Keeping these many emotionally complex creatures loaded at once could cause considerable performance issues.\n\nAre you sure you want to maintain these many?\n\n(You can disable this message in settings)","BRZDI!\n\nVe svých uložených datech máš zaregistrováno 20 (nebo více) Expies. Pokud budeš mít tolik emocionálně složitých stvoření načtených najednou, může to způsobit výrazné problémy s výkonem.\n\nOpravdu jich chceš chovat tolik?\n\n(Tuto zprávu můžeš vypnout v nastavení)"
PERSISTENCE_WARNING_YES_TEXT,YES. BRING THEM IN!,ANO. DEJ JE SEM!
PERSISTENCE_WARNING_NO_TEXT,Nah... get rid of them.,Ne...zbav se jich
FIRST_LAUNCH_MESSAGE,This is your first time launching DeskSaw!\n\nWould you like to be linked to a guide on how to use it?,Tohle je tvé první spuštění DeskSaw\n\nChceš se mrknout na návod jak jej použít?
CONSOLE_LOG_COMMAND_DESCRIPTION,Log a string to the console,Vypíše text do konzole
CONSOLE_RESIZECONSOLE_COMMAND_DESCRIPTION,Resize the console,Změní velikost konzole
CONSOLE_SETMONITOR_COMMAND_DESCRIPTION,Temporary command,Dočasný příkaz
CONSOLE_SPAWN_COMMAND_DESCRIPTION,Spawns item,Vytvoří položku
CONSOLE_CLEARITEMS_COMMAND_DESCRIPTION,"Clears by 'entity', 'object' or specific item name/ expie skin name","Vymaže podle 'entity', 'object' nebo konkrétního názvu položky / názvu skinu expie"
CONSOLE_SPAWNEXPIE_COMMAND_DESCRIPTION,Spawn a Sawian based on whatever your default skin is set to,Vytvoří Sawiana podle aktuálně nastaveného výchozího skinu
CONSOLE_NUKEDATA_COMMAND_DESCRIPTION,"Resets EVERYTHING. Save file, settings, etc. Run at your own risk","Resetuje ÚPLNĚ VŠE. Uložená data, nastavení atd. Používej na vlastní nebezpečí"
CONSOLE_DISCLAIMER_MESSAGE,"[color=PURPLE]You can reopen this console any time by Ctrl + Right Clicking on any Desksawian![/color]\nEXPIE OR ANY CHARACTERS THAT MAY BE PRESENT HERE ARE NOT MINE. THIS IS A FAN PROJECT\nIF YOU PAID FOR THIS OR GOT IT FROM SOMEWHERE NOT ON GITHUB, YOU DID IT WRONG!","[color=PURPLE]Tuto konzoli můžeš kdykoliv otevřít pomocí Ctrl + kliknutí pravým tlačítkem na libovolného Desksawiana![/color]\nEXPIE ANI ŽÁDNÉ DALŠÍ POSTAVY, KTERÉ SE ZDE MOHOU OBJEVIT, NEJSOU MOJE. TOTO JE FANOUŠKOVSKÝ PROJEKT\nPOKUD JSI ZA NĚJ ZAPLATIL NEBO JEJ ZÍSKAL ODJINUD NEŽ Z GITHUBU, UDĚLAL JSI TO ŠPATNĚ!"
CONSOLE_RESIZING_WARNING_MESSAGE,Resizing the console to this size is not recommended!,Zmenšení okna konzole na takovouto velikost není doporučena!
CONSOLE_RESIZE_OVERRIDE_MESSAGE,"Type '[url=resizeConsole {0} {1} force]resizeConsole {0} {1} force[/url]' if you are sure","Použijte '[url=resizeConsole {0} {1} force]resizeConsole {0} {1} force[/url]' pokud jste si jisti"
CONSOLE_RESIZE_NOTE,[color=gray]NOTE: console size will NOT be saved if forced![/color],[color=gray]POZNÁMKA: velikost konzole NEBUDE uložena pokud bude vynucena parametrem force![/color]
VERSION_DIALOG_MESSAGE,"You're using an outdated version of DeskSaw.\n\n\tLatest: %s (https://github.com/dee-dee-catorce/desksaw)\n\tCurrent: %s\n\nYou can disable this popup in settings.","Používáš zastaralou verzi DeskSaw.\n\n\tNejnovější: %s\n\tAktuální: %s (https://github.com/dee-dee-catorce/desksaw)\n\nToto vyskakovací okno můžeš vypnout v nastavení."
VERSION_DIALOG_TITLE,"New version available!","Dostupná novější verze!"
WAYLAND_DIALOG_MESSAGE,"DeskSaw could not enable its XWayland input-region workaround. Click-through interaction may not work correctly. Make sure DeskSaw is running through X11/XWayland with the XShape extension available, or use an X11 session.","DeskSaw nemohl aktivovat potřebné řešení pro klikání skrz okno v XWaylandu. Tato funkce proto nemusí fungovat správně. Ujisti se, že DeskSaw běží přes X11/XWayland a že je dostupné rozšíření XShape, případně použij relaci X11."
WAYLAND_DIALOG_TITLE,"Alert!","Upozornění!"
STATS_MOOD_TEXT,mood,nálada
STATS_HUNGER_TEXT,hunger,hlad
STATS_SLEEP_TEXT,sleep,spánek
STATS_FRIENDLINESS_TEXT,friendliness,přátelskost
